kernel,requested_ratio,actual_allocation_ratio,tenant_requested_bytes,block,policy,high_s,low_s,both_finished_s,high_kernel_ms,low_kernel_ms,release_skew_us,source
gemm,0.8,0.7927892270215454,13467726848,0,baseline,13.499727,13.748006,13.748006,2047.02,2035.7,0.0,gemm/ratio-0.8/combined_20260908_040257/block00_baseline
gemm,0.8,0.7927892270215454,13467726848,0,sched_only,9.393719,13.348079,13.348079,973.87,973.897,1.9073486328125,gemm/ratio-0.8/combined_20260908_040257/block00_sched_only
gemm,0.8,0.7927892270215454,13467726848,0,prefetch_only,12.874569,16.001407,16.001407,2052.16,978.331,3.0994415283203125,gemm/ratio-0.8/combined_20260908_040257/block00_prefetch_only
gemm,0.8,0.7927892270215454,13467726848,0,memory_only,12.821094,15.949571,15.949571,2048.54,975.826,3.0994415283203125,gemm/ratio-0.8/combined_20260908_040257/block00_memory_only
gemm,0.8,0.7927892270215454,13467726848,0,combined,9.085817,15.094657,15.094657,977.855,977.904,3.0994415283203125,gemm/ratio-0.8/combined_20260908_040257/block00_combined
gemm,0.8,0.7927892270215454,13467726848,1,sched_only,9.34225,13.32848,13.32848,977.657,977.711,2.1457672119140625,gemm/ratio-0.8/combined_20260908_040257/block01_sched_only
gemm,0.8,0.7927892270215454,13467726848,1,prefetch_only,12.832357,15.751112,15.751112,2047.78,975.966,3.0994415283203125,gemm/ratio-0.8/combined_20260908_040257/block01_prefetch_only
gemm,0.8,0.7927892270215454,13467726848,1,memory_only,12.800558,15.698693,15.698693,2046.44,974.817,2.1457672119140625,gemm/ratio-0.8/combined_20260908_040257/block01_memory_only
gemm,0.8,0.7927892270215454,13467726848,1,combined,9.088281,15.081282,15.081282,977.891,977.87,1.9073486328125,gemm/ratio-0.8/combined_20260908_040257/block01_combined
gemm,0.8,0.7927892270215454,13467726848,1,baseline,13.731623,13.492563,13.731623,2033.41,2044.51,0.95367431640625,gemm/ratio-0.8/combined_20260908_040257/block01_baseline
gemm,0.8,0.7927892270215454,13467726848,2,prefetch_only,12.862875,15.979777,15.979777,2051.81,976.975,1.9073486328125,gemm/ratio-0.8/combined_20260908_040257/block02_prefetch_only
gemm,0.8,0.7927892270215454,13467726848,2,memory_only,12.912648,15.921274,15.921274,2048.57,977.292,3.0994415283203125,gemm/ratio-0.8/combined_20260908_040257/block02_memory_only
gemm,0.8,0.7927892270215454,13467726848,2,combined,9.10652,15.106232,15.106232,978.645,978.837,2.1457672119140625,gemm/ratio-0.8/combined_20260908_040257/block02_combined
gemm,0.8,0.7927892270215454,13467726848,2,baseline,13.810941,13.523096,13.810941,2018.92,2049.75,0.95367431640625,gemm/ratio-0.8/combined_20260908_040257/block02_baseline
gemm,0.8,0.7927892270215454,13467726848,2,sched_only,9.400276,13.41824,13.41824,978.467,978.345,0.95367431640625,gemm/ratio-0.8/combined_20260908_040257/block02_sched_only
gemm,0.8,0.7927892270215454,13467726848,3,memory_only,12.933215,15.923552,15.923552,2051.85,978.142,2.86102294921875,gemm/ratio-0.8/combined_20260908_040257/block03_memory_only
gemm,0.8,0.7927892270215454,13467726848,3,combined,9.172888,15.215798,15.215798,979.436,979.425,1.9073486328125,gemm/ratio-0.8/combined_20260908_040257/block03_combined
gemm,0.8,0.7927892270215454,13467726848,3,baseline,13.80253,13.559469,13.80253,2028.1,2048.14,1.9073486328125,gemm/ratio-0.8/combined_20260908_040257/block03_baseline
gemm,0.8,0.7927892270215454,13467726848,3,sched_only,9.386525,13.393719,13.393719,977.993,978.049,1.9073486328125,gemm/ratio-0.8/combined_20260908_040257/block03_sched_only
gemm,0.8,0.7927892270215454,13467726848,3,prefetch_only,12.986732,16.047959,16.047959,2052.21,977.761,0.95367431640625,gemm/ratio-0.8/combined_20260908_040257/block03_prefetch_only
gemm,0.8,0.7927892270215454,13467726848,4,combined,9.091261,15.103558,15.103558,977.918,978.011,1.9073486328125,gemm/ratio-0.8/combined_20260908_040257/block04_combined
gemm,0.8,0.7927892270215454,13467726848,4,baseline,13.476895,13.718454,13.718454,2049.06,2029.08,0.95367431640625,gemm/ratio-0.8/combined_20260908_040257/block04_baseline
gemm,0.8,0.7927892270215454,13467726848,4,sched_only,9.357058,13.329396,13.329396,975.693,975.583,1.9073486328125,gemm/ratio-0.8/combined_20260908_040257/block04_sched_only
gemm,0.8,0.7927892270215454,13467726848,4,prefetch_only,12.812937,15.964364,15.964364,2056.2,980.166,2.1457672119140625,gemm/ratio-0.8/combined_20260908_040257/block04_prefetch_only
gemm,0.8,0.7927892270215454,13467726848,4,memory_only,12.887374,15.915389,15.915389,2057.12,980.377,1.9073486328125,gemm/ratio-0.8/combined_20260908_040257/block04_memory_only
gemm,1.0,0.9963422962980265,16834658304,0,baseline,115.706878,115.466295,115.706878,36608.5,36658.9,1.1920928955078125,gemm/ratio-1.0/combined_20260908_042529/block00_baseline
gemm,1.0,0.9963422962980265,16834658304,0,sched_only,11.408451,16.340144,16.340144,1223.56,1223.31,2.1457672119140625,gemm/ratio-1.0/combined_20260908_042529/block00_sched_only
gemm,1.0,0.9963422962980265,16834658304,0,prefetch_only,18.841424,22.161134,22.161134,5540.97,1230.51,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block00_prefetch_only
gemm,1.0,0.9963422962980265,16834658304,0,memory_only,18.80704,22.112143,22.112143,5662.59,1230.22,3.0994415283203125,gemm/ratio-1.0/combined_20260908_042529/block00_memory_only
gemm,1.0,0.9963422962980265,16834658304,0,combined,11.066558,18.559339,18.559339,1229.79,1229.13,1.1920928955078125,gemm/ratio-1.0/combined_20260908_042529/block00_combined
gemm,1.0,0.9963422962980265,16834658304,1,sched_only,11.422496,16.388793,16.388793,1229.44,1228.94,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block01_sched_only
gemm,1.0,0.9963422962980265,16834658304,1,prefetch_only,18.896273,22.200719,22.200719,5642.91,1227.95,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block01_prefetch_only
gemm,1.0,0.9963422962980265,16834658304,1,memory_only,18.827629,22.264064,22.264064,5550.94,1229.21,3.0994415283203125,gemm/ratio-1.0/combined_20260908_042529/block01_memory_only
gemm,1.0,0.9963422962980265,16834658304,1,combined,11.165094,18.691254,18.691254,1232.09,1231.67,3.0994415283203125,gemm/ratio-1.0/combined_20260908_042529/block01_combined
gemm,1.0,0.9963422962980265,16834658304,1,baseline,115.410828,115.694493,115.694493,36645.6,36617.3,0.95367431640625,gemm/ratio-1.0/combined_20260908_042529/block01_baseline
gemm,1.0,0.9963422962980265,16834658304,2,prefetch_only,18.952147,22.253383,22.253383,5689.04,1226.58,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block02_prefetch_only
gemm,1.0,0.9963422962980265,16834658304,2,memory_only,15.831247,19.716288,19.716288,2580.89,1228.79,2.86102294921875,gemm/ratio-1.0/combined_20260908_042529/block02_memory_only
gemm,1.0,0.9963422962980265,16834658304,2,combined,11.147908,18.634827,18.634827,1231.22,1230.64,2.86102294921875,gemm/ratio-1.0/combined_20260908_042529/block02_combined
gemm,1.0,0.9963422962980265,16834658304,2,baseline,115.468852,115.214236,115.468852,36591.2,36621.2,0.95367431640625,gemm/ratio-1.0/combined_20260908_042529/block02_baseline
gemm,1.0,0.9963422962980265,16834658304,2,sched_only,11.415294,16.422692,16.422692,1231.83,1231.33,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block02_sched_only
gemm,1.0,0.9963422962980265,16834658304,3,memory_only,15.855199,19.77332,19.77332,2581.53,1229.05,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block03_memory_only
gemm,1.0,0.9963422962980265,16834658304,3,combined,11.111723,18.616666,18.616666,1228.25,1227.92,1.9073486328125,gemm/ratio-1.0/combined_20260908_042529/block03_combined
gemm,1.0,0.9963422962980265,16834658304,3,baseline,115.464969,115.222213,115.464969,36571.6,36600.4,0.0,gemm/ratio-1.0/combined_20260908_042529/block03_baseline
gemm,1.0,0.9963422962980265,16834658304,3,sched_only,11.368469,16.328165,16.328165,1228.11,1227.66,9.059906005859375,gemm/ratio-1.0/combined_20260908_042529/block03_sched_only
gemm,1.0,0.9963422962980265,16834658304,3,prefetch_only,18.94484,22.254401,22.254401,5697.32,1227.68,2.1457672119140625,gemm/ratio-1.0/combined_20260908_042529/block03_prefetch_only
